OBJECTID,Project_code,Project_name,Corridor_name,Infrastructure_development_type,Status,Country,Region_or_province,Description,Launch_year,USD_amount__Million__Minimum,USD_amount__Million__Maximum,Amount_description,Distance__km__Minimum,Distance__km__Maximum,GIS_distance,Area__Km2_,Supplier_or_recipient_of_goods_or_services,Key_beneficiaries,Commodities_traded_or_transported,Name_of_donors_or_financiers,Amount_funded__USD_millions__per_donor_type,Type_of_major_donors_or_financiers,geometry,id,infra,name,iso3,Continent_Code,dist,matches
25,KCB0002,Kribi Port,Kribi-Campo-Bata Corridor,Port,In progress,Cameroon,Sud,"The Kribi deepwater port is Located in the southwestern part of the Republic of Cameroon, Kribi, on the edge of the Gulf of Guinea. The Kribi deepwater port was built by China Harbour Engineering Corporation and financed through China's Exim bank. ",NI,1100,1300.0,Cost of upgrade,NA,NA,NA,NI,Both,Traders; Government of Cameroon; Maritime services companies; Local communities; Logistics companies,Iron ore; Fish; Industrial goods; Timber,Export-Import Bank of China; Other funders (unspecified),680; NI,Regional development bank; NI,POINT (1097741.6475403092 301459.86019523774),port943,port,Port De Kribi_Cameroon,CMR,AF,37.562618056184,Y
19,POM0001,Port of Mogadishu (or Mogadishu International Port),Port of Mogadishu,Port,Operational,Somalia,Banaadir,"The Port of Mogadishu is the official seaport of Mogadishu. It is the largest harbour in the country, however, it has been facing challenges due to the wars that have been happening in the country. The port of Mogadishu has undergone a massive transformation, owing to the reduced threat of piracy and improved security, which has led to opening up of the port and increased investors’ confidence. The Port is managed by Al Bayrak, a Turkish company. Between 1991-2006, the port was closed for business as there were disagreements over who should control it. In 2006-2009, rehabilitation works allowed activity to slowly start again. In 2010 a new government was appointed, which then re-shuffled the port management and monthly revenue subsequently rose from US $0.9 million to over US $2.5 million. It has six berths. ",2010,NI,,NA,NA,NA,NA,NI,Both,Somali Port Authority; Entrepreneurs; Local communities,Oil; Sugar; Rice; Cement; Animal products,African Development Bank,NI,Regional development bank,POINT (5046586.961328861 223899.8619273196),port778,port,Muqdisho_Somalia,SOM,AF,41.18148823697721,Y
31,TDC0002,Port of Tanga,Tanga Development Corridor,Port,Operational,Tanzania,Tanga,"The Tanga port is approximately 350km north of Dar es Salaam. It was the first port to be developed in Tanzania, allowing access to Arusha and Moshi. It is a small seaport in terms of land and volumes of cargo handled per annum. It has two berths. ",1914,NI,,NA,NA,NA,NA,NI,Both,Government of Tanzania; Government of Rwanda; Government of Burundi; Government of Uganda; Traders; Logistics companies,Coffee; Tea; Sisal; Fish,Government of Tanzania; Government of Oman,NI; NI,National government,POINT (4353184.866305476 -560905.4894984094),port1264,port,Tanga_Tanzania,TZA,AF,45.899439440016344,Y
16,TOC0003,Port of Lüderitz,Trans-Oranje Corridor ,Port,Operational,Namibia,Karas,The Port of Lüderitz lies south of the port of Walvis Bay along Namibia’s coastline. It provides access to markets in the Northern Cape of South Africa. It is an important base for the fishing industry and the offshore diamond and mining industries. The port was constructed in the 1800s but it is only since the new Namport administration took over in 1995 that Luderitz has begun to resurrect itself as the gateway to the south of Namibia. It is operated by the Walvis Bay Corridor Group. It has three berths. ,1995,4200,4200.0,Cost of upgrade,NA,NA,NA,NI,Both,Fishing industries; Diamond Mining Industries; Fruit Industry,Fish; Diamond; Fruit,Government of Namibia,NI,National government,POINT (1686866.1001190168 -3059494.5431805835),port668,port,Luderitz Bay_Namibia,NAM,AF,73.02410800918769,Y
28,DLC0001,Port of Abidjan,Dakar-Lagos Corridor,Port,Operational,Cote d'Ivoire,Abidjan,"The port of Abidjan is a deep sea port in Cote d'Ivoire. It is the second most important port in Africa after the port of Durban. It contributes majorly to the economy of West Africa. It serves a number of landlocked countries such as Burkina Faso, Mali, Niger, Chad, and Guinea. It has 34 berths.",1951,1200,1200.0,Total project cost,NA,NA,NA,NI,Both,Industries; Local communities; City of Abidjan,Fish; Cocoa; Timber; Coffee; Pineapple; Banana; Manganese; Vehicle spare parts; Textiles; Soap,Export-Import Bank of China; Bolloré Group; Maersk; Government of Côte d'Ivoire,13.14; NI; NI; NI,Private companies; National government,POINT (-446394.9429437098 585003.2841321857),port4,port,Abidjan_Cote d'Ivoire,CIV,AF,144.9491645389698,Y
13,CDH0001,Port of Nouakchott,Cairo-Dakar Corridor,Port,Operational,Mauritania,Nouakchott,"The port is strategically located at the crossroads of the routes connecting Africa, Europe and America, and is one of the leading public commercial ports in the south Sahara for ships sailing from Europe. ",1986,310,450.0,Cost of upgrade,NA,NA,NA,NI,Predominantly net recipient,Government of the Islamic Republic of Mauritania; Traders; Freight operators; Truck drivers,Iron ore; Gold; Copper; Gypsum; Fish; Cement; Clinker; Flour; Sugar; Petroleum,Africa Finance Corporation; World Bank; Government of the Islamic Republic of Mauritania,390; 55; 5,Regional development bank; Multilateral bank; National government,POINT (-1784162.118059597 2023499.3764146138),port831,port,Nouakchott_Mauritania,MRT,AF,202.52518444518927,Y
20,NSC0007,Port of Durban,North-South Corridor,Port,Operational,South Africa,KwaZulu-Natal,"The port of Durban is the busiest shipping terminal in sub Saharan Africa. It has a diverse economy with busy sectors in manufacturing, transportation, government, finance and tourism.  It has 59 berths. ",1824,405.6,405.6,Cost of upgrade,NA,NA,NA,NI,Both,Government of South Africa; Kwazulu Natal Department of Transport; Traders; Manufacturers; Farmers; Truck drivers,Vehicle spare parts; Grain; Fruit; Paper; Timber; Machinery; Oil; Fish; Rice; Sugar; Wheat; Fluorspar; Chemicals; Fertilisers; Soda ash; Coal; Minerals,Government of South Africa; Other funders (unspecified),200; NI,National government; NI,POINT (3453232.350421938 -3467053.34425894),port311,port,Durban_South Africa,ZAF,AF,244.8759504314152,Y
21,PSC0001,Port of Sudan,Port Sudan Corridor ,Port,Operational,Sudan,Red Sea,The Port of Sudan is the main seaport of Sudan and handles most of the country’s external trade. It has modern docking facilities and an oil refinery. It has 16 berths. ,1909,NI,,NA,NA,NA,NA,NI,Both,Sea Ports Corporation; Entrepreneurs; Local communities; Truck drivers,Cotton; Groundnuts; Sesame seed; Castor seed; Crude Petroleum; Construction material; Vehicle spare parts; Animal products,World Bank,NI,Multilateral bank,POINT (4144724.759580757 2211534.664002812),port977,port,Port Sudan_Sudan,SDN,AF,314.28267983753074,Y
17,POV0001,Port of Victoria,Port of Victoria,Port,Operational,Seychelles,Mont Fleuri,The Port of Victoria is the main port serving Seychelles and is a crucial economic pillar of Seychelles. It is an important gateway through which imports and exports of the country flow through. ,1972,40.01,40.01,Cost of upgrade,NA,NA,NA,NI,Both,Entrepreneurs; Truck drivers; Local communities,Vanilla; Coconut products; Coconut products; Tortoise shell; Soap; Guano,European Investment Bank; French Development Agency,38.175; NI,Regional development bank; International development agency,POINT (6174100.004806404 -512116.5305279108),port1361,port,Victoria_Seychelles,SYC,AF,403.0465061295327,Y
2,CNC0001,Port of Cotonou,Cotonou-Niamey Corridor,Port,Operational,Benin,Littoral,"Benin’s port of Cotonou is a potential gateway to landlocked West African countries, but high shipping costs, low efficiency, and poor logistical facilities have kept it from becoming a key trade route. In 2011, the beginning of renovation works began-expected to be completed in 2020. ",1964,46.1,50.4,Total project cost,NA,NA,NA,NI,Both,Government of Benin; Government of Burkina Faso; Government of Mali; Government of Niger; Traders; Local communities,Fruit; Nuts; Cotton; Copper; Fish; Animal products; Palm oil; Brewing textile; Petroleum; Bauxite; Iron; Aluminium; Cement,World Bank,NI,Multilateral bank,POINT (269984.27421583707 703505.8350930952),port265,port,Cotonou_Benin,BEN,AF,458.58103387971374,Y
