FeatureUID,DsgAttr01,Country,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,geometry,id,infra,name,iso3,Continent_Code,dist,matches
SOp02,SOp02b,Somalia,Boosaaso,Puntland,General Cargo Port,11.290326,49.180982,E,Y,Cement,Unspecified (General Cargo),51700.0,Metric tons,<Null>,<Null>,Ministry of Marine Transport and Ports,Somali Ports Authority,<Null>,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SOp001, SOp002",Bari,47830,POINT (5474801.872953153 1256686.9242496635),port157,port,Boosaaso_Somalia,SOM,AF,36.14107570677854,Y
SOp02,SOp02a,Somalia,Boosaaso,Puntland,Oil and Gas Terminal,11.290326,49.180982,E,Y,"Oil and Gas Products, Refined",Diesel (not Bulk),36200.0,Metric tons,<Null>,<Null>,Ministry of Marine Transport and Ports,Somali Ports Authority,<Null>,<Null>,SOp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, SOp001, SOp002",Bari,47830,POINT (5474801.872953153 1256686.9242496635),port157,port,Boosaaso_Somalia,SOM,AF,36.14107570677854,Y
MZp04,MZp04a,Mozambique,Pemba,<Null>,Oil and Gas Terminal,-12.966628,40.48709,E,N,Oil and Gas Products,Liquefied Natural Gas (LNG),-999.0,NA,<Null>,<Null>,Empresa Nacional de Hidrocarbonetos (ENH),"Portos e Caminhos de Ferro de Moçambique, E.P.",https://www.cfm.co.mz/index.php/pt/,<Null>,MZp4,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MZp012",Cabo Delgado,46940,POINT (4507002.242501439 -1446338.1258383172),port896,port,Pemba_Mozambique,MOZ,AF,39.61043030063316,Y
DZp05,DZp05b,Algeria,Mostaganem,<Null>,Bulk Commodities Port,35.934862,0.076635,E,Y,Iron and Steel,"Ferrous Products, Iron Pipes",2330.0,Metric tons,<Null>,<Null>,<Null>,Entreprise Portuaire de Mostaganem,http://www.port-mostaganem.dz/,"United States, Canada, Belgium",<Null>,"NGA-WPI-Pub150, DZp012, Google Earth","NGA-WPI-Pub150, DZp014",Mostaganem,45620,POINT (8530.96917694252 4266585.121827277),port771,port,Mostaganem_Algeria,DZA,AF,45.6909767684714,Y
DZp05,DZp05a,Algeria,Mostaganem,<Null>,Bulk Commodities Port,35.934862,0.076635,E,Y,Iron and Steel,"Ferrous Products, Reinforcing Bars",85400.0,Metric tons,<Null>,<Null>,<Null>,Entreprise Portuaire de Mostaganem,http://www.port-mostaganem.dz/,"United States, Canada, Belgium",DZp5,"NGA-WPI-Pub150, DZp012, Google Earth","NGA-WPI-Pub150, DZp014",Mostaganem,45620,POINT (8530.96917694252 4266585.121827277),port771,port,Mostaganem_Algeria,DZA,AF,45.6909767684714,Y
NAp01,NAp01a,Namibia,Luderitz Bay,<Null>,General Cargo Port,-26.641568,15.153546,E,Y,Diamonds,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Namport,https://www.namport.com.na/,<Null>,NAp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, NAp003",!Karas,46650,POINT (1686885.0244324475 -3059606.773710743),port668,port,Luderitz Bay_Namibia,NAM,AF,52.0386811466963,Y
NAp01,NAp01b,Namibia,Luderitz Bay,<Null>,Bulk Commodities Port,-26.641568,15.153546,E,Y,Manganese,Unspecified,-999.0,NA,<Null>,Tshipi Borwa Mine in Northern Cape,<Null>,Namport,https://www.namport.com.na/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, NAp002, NAp004",!Karas,46650,POINT (1686885.0244324475 -3059606.773710743),port668,port,Luderitz Bay_Namibia,NAM,AF,52.0386811466963,Y
TZp02,TZp02g,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Iron and Steel,"Iron Ore, Steel Products (Unspecified)",-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02b,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Fertilizer,Sodium Nitrate,-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,TZp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02d,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Gypsum,Unspecified,-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02f,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Coal,Unspecified,-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02h,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Zinc,Zinc Ore,-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02c,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Cement,Clinker,-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02e,Tanzania,Zanzibar,Malindi Port (Unguja),Bulk Commodities Port,-6.155894,39.192739,E,Y,Copper,"Copper Slugs, Other (Unspecified)",-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
TZp02,TZp02a,Tanzania,Zanzibar,Malindi Port (Unguja),Oil and Gas Terminal,-6.155894,39.192739,E,Y,"Oil and Gas Products, Refined","Petroleum Products, Kerosene, Diesel, Jet Oil",-999.0,NA,<Null>,<Null>,Zanzibar Ports Corporation (ZPC),Zanzibar Maritime Authority (ZMA),https://www.zma.go.tz/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, TZp002, TZp003",Zanzibar West,47050,POINT (4362915.748273674 -682014.4446669417),port1421,port,Zanzibar_Tanzania,TZA,AF,65.46263917663646,Y
MGp02,MGp02a,Madagascar,Port D'Ehoala,<Null>,General Cargo Port,-25.066622,46.96481,E,N,Titanium,Ilmenite,-999.0,NA,<Null>,<Null>,QIT Madagascar Minerals,QIT Madagascar Minerals,<Null>,Rio Tinto Fer Et Titane Plant,MGp2,Google Earth,"MGp004, MGp005",Toliary,N/A,POINT (5228098.734402842 -2865832.805959536),port340,port,Faradofay_Madagascar,MDG,AF,115.0014238597979,Y
MGp03,MGp03b,Madagascar,Toamasina,Port of Tamatave,General Cargo Port,-18.157553,49.427314,E,Y,Quartz,Unspecified,-999.0,NA,<Null>,<Null>,Madagascar International Container Terminal Services Ltd. (MICTSL),Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp003",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03a,Madagascar,Toamasina,Port of Tamatave,Oil and Gas Terminal,-18.157553,49.427314,E,Y,Oil and Gas Products,"Crude Oil, Liquefied Natural Gas (LNG)",-999.0,NA,<Null>,<Null>,GRT,Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,MGp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp003, MGp005",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03f,Madagascar,Toamasina,Port of Tamatave,Bulk Commodities Port,-18.157553,49.427314,E,Y,Cobalt,Refined Cobalt,-999.0,NA,<Null>,Ambatovy mine,Ambotovy,Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp002, MGp003, MGp005",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03d,Madagascar,Toamasina,Port of Tamatave,General Cargo Port,-18.157553,49.427314,E,Y,Graphite,Unspecified,-999.0,NA,<Null>,<Null>,Madagascar International Container Terminal Services Ltd. (MICTSL),Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp003",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03c,Madagascar,Toamasina,Port of Tamatave,Bulk Commodities Port,-18.157553,49.427314,E,Y,Chromium,"Chrome Ore, Chrome Powder",-999.0,NA,<Null>,<Null>,Madagascar International Container Terminal Services Ltd. (MICTSL),Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp003, MGp005",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03e,Madagascar,Toamasina,Port of Tamatave,Bulk Commodities Port,-18.157553,49.427314,E,Y,Nickel,Refined Nickel,-999.0,NA,<Null>,Ambatovy mine,Ambotovy,Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp002, MGp003, MGp005",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
MGp03,MGp03g,Madagascar,Toamasina,Port of Tamatave,Bulk Commodities Port,-18.157553,49.427314,E,Y,Fertilizer,Ammonium Sulphate,-999.0,NA,<Null>,Ambatovy mine,Ambotovy,Société du Port à Gestion Autonome de Toamasina (SPAT),http://www.port-toamasina.com/,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp002, MGp003, MGp005",Toamasina,47540,POINT (5502223.425759242 -2042689.3071496189),port1301,port,Toamasina_Madagascar,MDG,AF,115.47177967355857,Y
KMp01,KMp01a,Comoros,Moroni,<Null>,General Cargo Port,-11.7047,43.247987,E,N,Cement,Pozzolana (Cement),-999.0,NA,<Null>,<Null>,<Null>,APC Autorité Portuelle du Comoro,<Null>,<Null>,KMp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, KMp001, KMp002",Njazídja,47300,POINT (4814343.890674115 -1303456.8437936932),port769,port,Moroni_Comoros,COM,AF,141.02559067426847,Y
MGp01,MGp01a,Madagascar,Mahajanga,<Null>,Bulk Commodities Port,-15.72646,46.30997,E,N,Cement,Unspecified,-999.0,NA,<Null>,<Null>,COMAMA,"Agence Portuaire, Maritime et Fluviale (APMF)",<Null>,<Null>,MGp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp001",Mahajanga,47400,POINT (5155202.279051775 -1761491.955816393),port680,port,Mahajanga_Madagascar,MDG,AF,154.1645525373576,Y
MAp07,MAp07c,Morocco,Safi,<Null>,Bulk Commodities Port,32.309835,-9.246361,E,Y,Coal,Coke,-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp006",Doukkala - Abda,45797,POINT (-1029300.1982107839 3781213.992189071),port1118,port,Safi_Morocco,MAR,AF,220.19896602719743,Y
MAp07,MAp07a,Morocco,Safi,<Null>,Bulk Commodities Port,32.309835,-9.246361,E,Y,Zinc,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,MAp7,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp006",Doukkala - Abda,45797,POINT (-1029300.1982107839 3781213.992189071),port1118,port,Safi_Morocco,MAR,AF,220.19896602719743,Y
MAp07,MAp07e,Morocco,Safi,<Null>,Bulk Commodities Port,32.309835,-9.246361,E,Y,Barium,Unspecified,-999.0,NA,<Null>,<Null>,<Null>,Societe d'Exploitation des Ports SA (SODEP),https://www.marsamaroc.co.ma,<Null>,<Null>,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MAp006",Doukkala - Abda,45797,POINT (-1029300.1982107839 3781213.992189071),port1118,port,Safi_Morocco,MAR,AF,220.19896602719743,Y
